<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20200116,180000,254.0300000,254.5400000,254.0000000,254.1000000,4329850
GAZP,60,20200116,190000,254.1200000,254.3000000,254.0000000,254.2600000,4222860
GAZP,60,20200117,110000,254.7600000,255.6400000,253.8000000,255.4400000,4767230
GAZP,60,20200117,120000,255.4800000,256.2900000,255.1200000,255.9100000,4754820
GAZP,60,20200117,130000,255.9800000,256.4900000,255.3900000,256.0500000,4176270
GAZP,60,20200117,140000,256.0600000,256.6000000,254.1000000,256.1600000,9689140
GAZP,60,20200117,150000,256.1700000,256.6000000,255.4400000,255.7900000,3035070
GAZP,60,20200117,160000,255.7400000,255.9700000,254.8700000,255.1300000,2341740
GAZP,60,20200117,170000,255.0900000,255.3500000,254.8000000,254.9700000,2079570
GAZP,60,20200117,180000,255.0000000,255.5900000,254.8000000,255.2000000,2483460
GAZP,60,20200117,190000,255.1900000,255.8700000,254.8400000,255.3900000,8701310
GAZP,60,20200120,110000,255.6500000,256.1000000,254.1900000,254.7600000,4535540
GAZP,60,20200120,120000,254.8000000,256.0300000,254.7600000,255.5600000,4518310
GAZP,60,20200120,130000,255.5900000,255.6600000,254.4400000,254.7300000,4554450
GAZP,60,20200120,140000,254.7300000,255.0500000,253.8900000,253.9700000,3627290
GAZP,60,20200120,150000,253.9700000,254.5900000,253.7300000,254.5900000,1835260
GAZP,60,20200120,160000,254.5700000,254.5900000,254.1000000,254.3800000,1043660
GAZP,60,20200120,170000,254.3800000,254.4500000,253.7500000,254.0100000,1795470
GAZP,60,20200120,180000,254.0100000,254.0500000,253.2600000,253.4000000,2591280
GAZP,60,20200120,190000,253.3900000,254.0900000,253.0100000,253.5000000,5456210
GAZP,60,20200121,110000,253.3700000,253.4000000,252.0000000,252.2800000,4086370
GAZP,60,20200121,120000,252.2500000,252.2500000,251.4400000,252.0900000,3972710
GAZP,60,20200121,130000,252.0900000,252.4800000,251.1900000,251.2400000,3968250
GAZP,60,20200121,140000,251.2400000,251.7200000,251.0100000,251.2500000,2216810
GAZP,60,20200121,150000,251.2200000,251.5400000,250.9400000,251.2100000,1884240
GAZP,60,20200121,160000,251.2100000,251.7700000,251.1500000,251.6300000,2357020
GAZP,60,20200121,170000,251.6100000,251.9000000,250.8800000,251.3700000,2180690
GAZP,60,20200121,180000,251.3400000,252.8300000,251.3400000,252.8000000,3537090
GAZP,60,20200121,190000,252.7500000,252.9900000,252.1600000,252.9900000,2670430
GAZP,60,20200122,110000,252.8100000,253.3900000,251.5300000,251.6300000,3456780
GAZP,60,20200122,120000,251.7000000,252.2900000,251.2500000,251.4400000,2599230
GAZP,60,20200122,130000,251.3700000,251.8400000,250.3800000,250.4900000,4747770
GAZP,60,20200122,140000,250.4900000,251.1000000,250.0600000,250.5800000,2420640
GAZP,60,20200122,150000,250.5800000,250.6600000,250.0300000,250.3400000,3383570
GAZP,60,20200122,160000,250.3200000,250.6000000,250.0800000,250.2300000,3135170
GAZP,60,20200122,170000,250.2000000,250.4100000,249.4000000,249.6000000,4200640
GAZP,60,20200122,180000,249.6200000,250.3400000,249.2500000,249.3600000,5605160
GAZP,60,20200122,190000,249.4000000,249.4100000,248.1000000,248.1000000,9276300
GAZP,60,20200123,110000,246.9000000,247.6600000,245.0000000,246.8400000,8073310
GAZP,60,20200123,120000,246.8200000,247.2300000,245.1000000,245.8400000,10251470
GAZP,60,20200123,130000,245.8300000,246.0300000,245.0000000,245.0600000,8373050
GAZP,60,20200123,140000,245.0700000,245.3500000,243.5700000,244.1500000,9519670
GAZP,60,20200123,150000,244.1500000,245.1500000,243.6200000,244.3700000,5299620
GAZP,60,20200123,160000,244.3300000,244.8900000,243.8500000,244.0600000,2949880
GAZP,60,20200123,170000,244.0600000,244.3400000,242.5200000,242.6200000,5478200
GAZP,60,20200123,180000,242.6100000,242.6500000,240.1600000,240.4300000,10612710
GAZP,60,20200123,190000,240.5200000,240.5600000,239.0100000,239.3000000,13096750
GAZP,60,20200124,110000,240.1200000,243.2500000,240.1200000,241.0600000,10443300
GAZP,60,20200124,120000,241.1100000,241.9300000,240.5100000,241.1200000,5897120
GAZP,60,20200124,130000,241.1700000,241.2800000,240.5200000,240.6400000,3228140
GAZP,60,20200124,140000,240.6800000,240.6800000,235.2800000,236.1000000,14049260
GAZP,60,20200124,150000,236.1000000,241.9600000,236.0100000,241.1100000,12676480
GAZP,60,20200124,160000,241.1900000,242.3700000,239.2200000,239.5000000,8585990
GAZP,60,20200124,170000,239.5000000,241.5400000,238.8700000,239.9700000,3986460
GAZP,60,20200124,180000,239.9700000,240.0400000,237.3000000,239.0000000,5190360
GAZP,60,20200124,190000,239.0000000,239.4000000,237.6000000,237.9500000,4936930
GAZP,60,20200127,110000,235.0100000,235.4000000,232.1500000,233.8100000,14370250
GAZP,60,20200127,120000,233.8800000,235.1100000,233.7300000,233.9500000,9153670
GAZP,60,20200127,130000,233.9400000,234.1000000,232.2000000,232.2000000,7240160
GAZP,60,20200127,140000,232.2100000,232.3000000,230.1500000,230.7200000,16959490
